scode,12-ys,12-lr,12-ro,13-ys,13-lr,13-ro,14-ys,14-lr,14-ro,15-ys,15-lr,15-ro,16-ys,16-lr,16-ro,17-ro
300400,-8.205006193463399,-13.820761961352519,18.16,0.0,0.0,18.16,10.692792687787854,-8.673528947011329,12.66,-4.591865747000569,-0.15771855500235127,8.64,27.601698895187376,62.640478542775405,12.84,17.43
002297,22.81495671767123,-199.95405621474708,-6.08,0.0,0.0,-6.08,3.5856154972917804,114.77434730842518,0.46,-15.994442464311073,-2711.8050939349323,-12.77,61.25419596895665,104.62117343056516,0.45,-4.0
002069,-11.204651540393677,-78.77823876064215,4.09,0.48206626649095075,-8.26707665358442,3.93,1.5778685334574976,-1326.8348320985306,-67.69,2.425381551194546,79.57364418305775,-24.04,11.93061547659525,132.76309225067172,8.47,-99.63
300167,-1.9323688541331512,-30.42824982580453,2.27,-3.641962623279377,-73.5687473985976,0.74,8.014552342119295,-279.43815256798143,-1.35,43.69809105814143,207.003633254969,1.45,32.55523445677608,193.46375856352486,4.13,-0.81
002422,14.325010187099984,12.564576573206004,13.11,16.07406251366604,-0.7350847116192749,11.55,17.451179900284078,-7.190126997608735,9.78,-3.241526247120638,-35.59540472023901,5.91,10.338378003036167,-9.396434002073265,5.21,6.45
002638,6.806680913375526,-15.563690952083107,4.68,38.8046365007667,-1.1724243179097777,4.67,-20.58080867653579,-88.1840805400152,-0.62,-6.1959784179883375,68.82325607818636,1.21,-0.814502333928862,-2160.659897619373,-8.42,1.63
002211,-12.184304514326064,119.13161934300607,0.22,-3.2026585840920605,-23885.04914170806,-70.01,-3.6378879239183135,101.41966280057827,1.52,-13.252234455502176,-587.540255532987,-7.63,1.7236143593196345,118.19981419618956,1.43,2.6
300029,-79.08658293902275,-921.2837330773194,-53.47,25.30390154630976,74.56441361617377,-20.37,-37.16776391773562,122.66141748039598,5.1,-6.096378087115772,-1316.3458921562624,-74.71,15.29994170412996,84.09739854940507,-26.58,30.26
002164,-9.684934759502255,-305.3418775866555,-4.83,-7.820236048577453,92.43592705462194,-0.38,-10.782168345280821,678.5174381906958,2.17,-1.3387042671399616,-53.23593880157005,1.02,2.732236451856671,3.7170434863102897,1.07,7.91
002157,26.079465254223887,-36.336625940007686,7.32,14.352356625122617,-137.2679852209995,-2.99,8.85909982261,421.88850621688704,2.88,-3.222874609189943,223.16284403866877,13.7,15.252417474561797,235.85042529966472,28.58,8.63
002201,0.48808744239388296,9.987046477512921,4.86,-3.9812044497502495,-91.16240656436901,0.42,18.746384057641773,500.7635079352415,2.48,-7.508679708526367,51.775504635217295,2.59,15.375151795146982,-70.09008296786111,0.54,-0.36
000010,6.300645368307355,-85.52498379222924,0.01,92.58525479583967,331.8638930982229,0.74,-36.448782011587696,-2478.168362627197,-13.52,315.71018143314996,144.85869619278583,4.05,10.043052856761603,19.236968216120964,1.81,-63.0
000518,7.505855421423982,268.8313292955648,1.35,-20.468032707783053,-862.4252496551005,-11.47,15.562316899162754,107.76095738938045,0.88,-1.40401457718558,-1349.7978968899024,-11.56,37.61690962433127,106.00832278490971,0.73,1.17
300323,-30.375878510867565,-29.93377044873143,6.84,-4.1865518606623935,-109.86578371856793,-0.51,123.30040680139362,1155.0075844781431,5.28,35.309236123187304,-205.55165214660445,-5.58,65.6183385025922,378.45977657077725,9.83,13.62
600138,22.070948407664332,10.459027422062697,12.83,-9.376171460994206,8.589202482250284,10.93,13.859907712909056,13.457945732746426,9.6,0.044355588084306674,-19.48417333122179,6.47,-2.680569162088662,65.10777081512852,9.49,10.38
000415,165.14711810423492,53.55643206044862,5.67,16.584470230653427,35.75310839395346,7.96,7.456498024305527,-13.237265574748628,10.65,43.41109945993516,42.84644260377838,12.28,146.85937891799125,74.53873916416501,7.79,8.37
000155,6.683502681023209,105.33365984539442,0.84,-14.572028918670862,-5633.077931154989,-60.47,-53.49617064785692,-147.8700446743735,-2378.0,-62.04589435741096,63.98578953547549,-50.81,530.0776148877419,259.2509543621896,-185.46,9.56
000589,-12.46811277806964,34.407099280730186,5.85,-1.8029404280742591,35.44529353558702,7.52,-14.112869297644606,-4.323706691941638,4.9,-14.918975146682781,-255.88480812005955,-7.14,18.03804008508249,105.87962301821456,0.43,-6.4
000835,-17.293414349308122,-1115.2832639838448,-8.01,-12.91232012327199,116.98353936656328,1.38,-54.31294341591965,0.6582947968645515,1.4,-20.37498473806834,209.54250111118006,2.78,-8.595212392398798,-538.5391157840684,-26.69,30.5
000829,34.8833496460692,-144.63122948506145,-0.77,-8.401362120106004,221.54957217595893,1.26,15.893274557428697,-33.31649104958474,0.84,24.37586190080465,-1341.241840086652,-10.89,-21.34525574546295,198.21234533591547,10.48,9.69
000955,11.0376773236506,102.79789730553988,0.994,-0.6578471676271069,-8202.542424822303,-7.64,14.92890986395741,109.11817203664718,0.72,16.672181531921836,-1677.061659997948,-12.03,60.47727968256983,141.7150567084016,5.04,6.14
000005,56.48300884865971,92.92414115586756,3.28,-47.63522452075131,-292.28721264493794,-6.41,1.373941444557088,201.9344657342903,6.68,59.39898061655645,-227.97569265057143,-8.07,472.78772317713907,296.70307190713856,8.94,1.18
000004,30.682472675233324,-32.93217289640035,2.59,-25.24435186930387,-151.53344490418314,-1.34,10.749878917051465,467.8593472802026,4.85,49.430822185463086,-67.19295772269948,1.54,138.82064324185697,3051.209502348009,38.84,6.85
002193,26.146253216998527,-81.85655568455,0.3,-27.257812393890486,17.745100885401072,0.36,-1.6562883035734413,-174.92751071027376,-0.27,70.27417742706436,1225.8110720240907,1.96,10.26277364230539,138.82459346226346,1.96,2.83
000678,-12.803464068912854,-81.03671921828172,0.92,20.710671273623156,-72.06803097783107,0.21,37.83428469102013,365.9605116861836,0.58,-1.1230134166293964,-1347.2535827993654,-7.72,11.38310961537783,114.77152527823095,1.06,0.94
000668,-26.998232628364644,-47.12696311226085,0.26,68.8284797079335,-0.08607397785074744,0.26,-90.8550087647644,-2706.357999536904,-7.13,885.1063038249888,155.31470793101002,4.01,-87.80543031649296,-260.58257313663387,-6.53,1.7
000638,-87.68955060194554,5.973534566814316,2.38,104.9350029579315,-340.52763530591363,-5.74,94.10247563164587,125.14648593023703,1.39,23.988447554579786,-1269.9052218492943,-16.12,-34.78823909553945,129.49874599843847,4.88,6.99
000711,3.3765065599694286,-88.19953891933426,0.6,3.170986661170769,-1347.8933035535688,-8.09,8.767914275439303,-162.5307206780591,-24.85,4.8567753268425085,152.2358277017085,13.8,539.2348631650711,-68.13662851998431,1.44,8.42
002591,-19.780754295067503,-51.49224911696142,3.58,57.54602345788682,24.502733000757768,4.3118,-25.245493893193217,-81.34251177640954,0.7847,-25.58364637559404,-1224.3798001688488,-9.27,-20.291102785945633,121.24995035633268,2.0,1.43
000806,-0.028233327099672474,113.50738248389656,2.92,-18.09547158342418,-49.31201060023741,1.46,2.2761733457298843,113.59955333704914,3.15,3.794911052229445,292.98485406408565,6.03,44.72203661234542,-87.44235734076943,0.64,0.49
200160,15334.728568378143,828.3795998493408,36.01,357.73246751897807,188.21593044933823,58.42,-11.388753949876602,-15.322122084123894,32.13,-56.210609728598826,-26.666147412458805,18.43,160.51096731176378,-93.61196946093483,1.06,1.13
002477,21.77758811731668,-29.377279021488345,15.02,17.991742405447297,-75.01895486240848,3.6,-5.695102489710304,-350.53829971743545,-6.98,105.42955741960904,216.34249233565725,5.83,68.2823004715847,294.2925434178598,18.0,0.88
002432,0.5507191679165335,-66.5803738413269,0.91,14.458772420005737,-231.85138263362012,-1.22,4.388210225284905,211.2254877484431,1.35,-6.485791539598555,-1578.4141782241222,-22.04,5.600009544047485,109.61647210503247,1.35,-11.4
200054,-26.24144459006844,23.73169178518361,-67.02,3.423908349786109,108.0638495198998,7.83,-6.481042550368489,-1252.694780237446,-158.81,-23.943960913694067,280.3506482970282,174.84,-34.894079561223975,-94.90848620241539,4.68,5.22
000809,-0.4468115000076696,4.215854472931079,26.1,20.737346592598406,12.132839697571697,22.92,-84.39744494593937,-95.94418521776896,0.83,-86.93085490553844,-723.31762350635,-5.31,-38.837148425002184,-34.08659655391416,-7.7,3.31
000032,-11.913727913365577,559.7781346897353,21.9,7.1572406980991,-95.27413642059874,0.94,88.92245380292916,1075.736561031007,7.68,-35.845942026795036,-45.289708401665656,3.98,0.875448432797598,11.213166692558877,4.32,1.83
000780,-10.387541667104498,-53.68112131636321,9.0,-16.501614636698875,-90.97863032327149,0.8,-14.789265170057716,-26.08094720048375,0.59,-19.9888713702965,-1526.499041358532,-8.7,6.007608476865207,17.153788000392208,-7.71,11.13
002466,-1.4659874085988656,3.7493448164568,4.19,169.18339459881605,-557.7775836401253,-6.65,33.157315356584945,168.3075785489817,3.73,31.249835306122602,89.93125390900767,1.4,109.1495543923107,510.03475517851086,39.41,35.71
300269,4.298340288722115,-48.3800239562419,4.75,9.630665171202173,-39.51782998173311,2.85,65.65650010840814,723.5952264451074,11.05,56.952853033569774,66.95236182279433,9.34,84.12349318918277,80.1567585882536,9.15,2.08
002528,113.42823440084915,-68.51540564750415,0.6,26.807461546182587,360.49668810810465,2.83,1.9658573460209439,-45.81171499566945,1.97,85.11888744220722,105.45751945500908,3.0,9.133384606071827,-709.78339144473,-16.79,4.36
